Ad name,Spend,Link Click,CPC,CTR,Avg. play time,Hold Rate,Hook Rate,Message Rate,ThruPlay,Leads,CPL,MQL,CPMQL,SQL,CPSQL,Won,CPWon
Coffeeboy VP1,RM353,29,RM12.2,0.34%,1,1.00,19.3%,0.0%,7.8%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
Deepavali Promos,"RM18,890","1,942",RM9.7,0.34%,2,2.00,4.6%,0.4%,5.8%,104,RM182,101,RM187,32,RM590,8,"RM2,361"
D3 White Background,RM847,90,RM9.4,0.32%,2,2.00,0.0%,0.0%,0.0%,4,RM212,4,RM212,2,RM423,0,#DIV/0!
That Last Slice VP1 Testimonial,RM358,39,RM9.2,0.32%,1,1.00,0.0%,0.0%,0.0%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
Cost Comparison V1,"RM24,096","2,997",RM8.0,0.32%,2,2.00,8.1%,0.8%,19.0%,126,RM191,116,RM208,35,RM688,6,"RM4,016"
Futureproof V2,RM412,35,RM11.8,0.31%,2,2.00,0.0%,0.0%,0.0%,1,RM412,1,RM412,0,#DIV/0!,0,#DIV/0!
Get More Done,RM66,10,RM6.6,0.31%,1,1.00,0.0%,0.0%,0.0%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
90s Cafe Management V1,RM138,30,RM4.6,0.31%,1,0.00,0.0%,0.0%,0.0%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
"Kozie Krafts VP2, Inventory",RM29,2,RM14.7,0.30%,1,1.00,15.6%,0.0%,3.3%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
30+ Features,"RM2,283",272,RM8.4,0.30%,2,2.00,0.0%,1.1%,0.0%,5,RM457,5,RM457,1,"RM2,283",0,#DIV/0!
Retail Business Types - Pet Shops,RM801,120,RM6.7,0.27%,2,2.00,0.0%,0.0%,0.0%,7,RM114,6,RM133,2,RM400,0,#DIV/0!
Coffeeboy VP4 Testimonial,RM35,3,RM11.5,0.27%,1,1.00,0.0%,0.0%,0.0%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
This or That V2,RM365,57,RM6.4,0.25%,2,2.00,0.0%,0.0%,0.0%,5,RM73,4,RM91,1,RM365,0,#DIV/0!
Retail Business Types - Boutiques,RM294,61,RM4.8,0.25%,2,2.00,0.0%,0.0%,0.0%,2,RM147,1,RM294,0,#DIV/0!,0,#DIV/0!
Whatsapp Chat - Reports,RM26,1,RM25.6,0.22%,1,1.00,0.0%,0.0%,0.0%,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
Coffeeboy VP4,RM131,7,RM18.8,0.21%,2,2.00,14.6%,0.0%,5.4%,1,RM131,1,RM131,1,RM131,0,#DIV/0!
All Your Business Needs,RM0,0,RM0.0,0.00%,1,1.00,0.0%,0.0%,0.0%,27,RM0,26,RM0,9,RM0,2,RM0
BAU / Halloween Promos,RM0,0,RM0.0,0.00%,1,1.00,0.0%,0.0%,0.0%,21,RM0,20,RM0,1,RM0,0,#DIV/0!
"Comic Promo, Selangor",RM0,0,RM0.0,0.00%,1,1.00,0.0%,0.0%,0.0%,64,RM0,55,RM0,18,RM0,6,RM0
D3 Mini Unboxing_FnB,RM0,0,RM0.0,0.00%,1,1.00,0.0%,0.0%,0.0%,6,RM0,5,RM0,1,RM0,0,#DIV/0!
Futureproof V1 Solution Aware,RM0,0,RM0.0,0.00%,1,1.00,0.0%,0.0%,0.0%,1,RM0,1,RM0,0,#DIV/0!,0,#DIV/0!
Futureproof V3,RM0,0,RM0.0,0.00%,1,1.00,0.0%,0.0%,0.0%,9,RM0,8,RM0,4,RM0,1,RM0
Monthly Plan D3 Pro,RM0,0,RM0.0,0.00%,1,1.00,0.0%,0.0%,0.0%,22,RM0,20,RM0,7,RM0,1,RM0
Retail Business Types - Pet Stores,RM0,0,RM0.0,0.00%,1,1.00,0.0%,0.0%,0.0%,2,RM0,2,RM0,0,#DIV/0!,0,#DIV/0!
Should I Choose_Static_Retail,RM0,0,RM0.0,0.00%,1,1.00,0.0%,0.0%,0.0%,31,RM0,21,RM0,4,RM0,0,#DIV/0!
Winning Combo_GIF,RM0,0,RM0.0,0.00%,1,1.00,0.0%,0.0%,0.0%,13,RM0,12,RM0,7,RM0,3,RM0
